Item Name,Category
Topping 1/2 pint,Food
Not Used NU,Food
Grace's 1/2 Pint,Food
Grace's Pint,Food
$19 Inclusive,Food
Cheese Tray (40),Food
Potato Sal 1/2,Food
Linen,Food
$25 Inclusive NU,Food
$22 Inclusive,Food
$20 Inclusive,Food
$0 Prima,Food
$0 Spag MtBlls,Food
Napkin,Food
Overlay,Food
$36 Inclusive,Food
$0 Gr Chix,Food
$0 Shrimp Salad,Food
$23 Inclusive,Food
$26 Inclusive,Food
Party Favors,Food
$21 Inclusive,Food
Utensil/Plate,Food
$7.50 Inclusive,Food
Bulk Chips,Food
T-Shirt,Food
Smoked Turkey,Food
Full Pan SwtPots,Food
Rolls/dozen,Food
Cranberry Gallon,Food
Peeled Shrimp/lb,Food
Crostini x1,Food
Sirln w/bun 1lb,Food
@cost Tenderloin,Food
HALF Tenderloin,Food
Pork Wrap,Food
small Chz/Andoul,Food
Open Food,Food
Lou's Spaghetti,Food
Lasagna,Food
Chix Pasta,Food
Off The Dock,Food
Pasta Spc 2,Food
Fett Alfredo,Food
Primavera,Food
Side Soup,Food
Parm Spag,Food
BQ Spag MB,Food
BQ Spring Sauce,Food
BQ Meat Sauce,Food
BQ Primavera,Food
Lingu Clams,Food
Bulk Gal Bev,Food
20 Buffet,Food
Shrimp Scalp,Food
Lou's Spag OP,Food
Chicken Parmesan,Food
Fett Special,Food
Trout Dinner,Food
Salmon Dinner,Food
Gr Shrimp,Food
MAHI MAHI,Food
Shrimp Pasta,Food
Dinner Fish ,Food
9p Peal Eat Shr,Food
Seasonal Fish,Food
10p P&E Shrimp,Food
Salmon Dinner OP,Food
Coke,Food
Diet Coke,Food
Perrier,Food
Sprite,Food
Dr. Pepper,Food
Lemonade,Food
Diet Dr.Pepper,Food
Coffee,Food
Iced Tea,Food
Hot Tea,Food
Water,Food
Fanta,Food
Kid Juice,Food
Sweet Tea,Food
Juice,Food
Milk,Food
Bulk Beverage,Food
Soda,Food
Tonic,Food
Coke Zero,Food
Root Beer,Food
Ginger Beer,Food
Mocktail,Food
Bloody Mary(VOD),Drink
Bloody Mary(TEQ),Drink
Mega Mary(VOD),Drink
Amaretto Sour,Drink
Bay Breeze,Drink
Black Russian,Drink
Cape Cod,Drink
Between Sheets,Drink
Colo Bullbog,Drink
Cosmopolitan,Drink
Cubra Libra,Drink
Cucumber Mar,Drink
Virgin Mary,Drink
Fuzzy Navel,Drink
Greyhound,Drink
Harvey wall,Drink
Long Island,Drink
Apple Jack,Drink
Camp CoCo,Drink
Black Sidecar,Drink
Grind,Drink
Mojito,Drink
Mimosa,Drink
Margarita,Drink
Margarita Patron,Drink
Cinco Mojito,Drink
Mango Mojito,Drink
Raz Mojito,Drink
Cinco Margarita,Drink
Mango Margarita,Drink
Hibiscus,Drink
Pom Margarita,Drink
Grasshopper,Drink
Manhattan,Drink
Gibson,Drink
Gimlet,Drink
Gin Fizz,Drink
John Collins,Drink
Dark & Storm,Drink
Hurricane,Drink
LIT Top Shelf,Drink
Lynchburg Lemona,Drink
Moscow Mule,Drink
Kentucky Mule,Drink
Mai Tai,Drink
Mudslide,Drink
Mint Julep,Drink
Manhattan Bullet,Drink
Irish Coff,Drink
Cafe Mocha,Drink
Ozark Mule,Drink
Mix Berry Mule,Drink
Mango Mule,Drink
Raspberry Mule,Drink
Butter beer,Drink
Ozk Vod Mule,Drink
London Mule,Drink
Mexican Mule,Drink
Cuban Mule,Drink
,Drink
,Drink
Rum Collin,Drink
Rob Roy,Drink
Pink Squirrel,Drink
Salty Dog,Drink
Screwdriver,Drink
Sidecar,Drink
Vodka Sour,Drink
Whiskey Sour,Drink
Spritzer,Drink
Sangria,Drink
RedBull & Titos,Drink
Vodka/RedBull,Drink
Rusty Nail,Drink
Old Fashioned,Drink
Cabin OldFashion,Drink
Smokey Old Fashn,Drink
Sex on Beach,Drink
Teq Sunrise,Drink
Tom Collins,Drink
Top Margarita,Drink
White Russian,Drink
Rum Runner,Drink
Watermelon,Drink
Lemon Drop Marti,Drink
Apple Martini,Drink
Vodka Martini,Drink
Gin Martini,Drink
Choco Martini,Drink
French Martini,Drink
Pom Martini,Drink
Coconut Martini,Drink
Key Lime Martini,Drink
Woo Woo,Drink
Choc Marg,Drink
Gingerbread Mart,Drink
LemonBerry Mart,Drink
$4 Mojito,Drink
$4 Margarita,Drink
Espres Martini,Drink
Grapfruit Cockta,Drink
Pineapple Press,Drink
Blue Rose Marga,Drink
-Drink Special,Drink
Mango Marg,Drink
Sunshine Limeade,Drink
Blue LIT,Drink
Cuc Lime Martini,Drink
Mango Ging Mart,Drink
Lavender Martini,Drink
Gin Special,Drink
Rum Special,Drink
Vodka Special,Drink
Boubon Special,Drink
Punch Special,Drink
Strawberry Beret,Drink
Simple Romance,Drink
Pina Coloda,Drink
